age,loan_amount,employment_years,income,debt,dti,loan_to_income,monthly_obligation
67,1169,0.0,3701.116531910089,1014.3027237922374,0.27405317153544784,0.3158506331592583,84.52522698268645
22,5951,4.0,23412.934449927216,9757.583433714624,0.4167603789513432,0.25417574258909265,813.131952809552
49,2096,1.0,7635.012402715606,4192.983394069249,0.5491783343505633,0.27452476688243477,349.41528283910407
45,7882,4.0,27310.168229921394,13460.907577976357,0.49288995456382445,0.2886104521086169,1121.7422981646964
53,4870,2.0,13999.74770527289,7316.610572628818,0.5226244591445799,0.3478634117217523,609.7175477190682
35,9055,3.0,26030.04050885909,12065.271190588835,0.46351334668428695,0.34786730343036587,1005.439265882403
53,2835,2.0,7779.556053995794,3710.1529462128665,0.476910625807141,0.36441668140482975,309.1794121844055
35,6948,3.0,26552.255814459,14329.675233647218,0.5396782606261277,0.2616726822967891,1194.1396028039348
61,3059,1.0,10609.081094563302,3181.315479994761,0.29986720354367435,0.2883378845664217,265.1096233328968
28,5234,2.0,18898.73582957934,7479.5524044331405,0.39576998545725617,0.27694974135825584,623.2960337027617
25,1295,1.0,3488.875893484086,1006.4840942870094,0.28848377672784087,0.3711797265183824,83.87367452391744
24,4308,4.0,17059.162190818497,10151.347933802668,0.5950672031986588,0.2525329176082652,845.9456611502223
22,1567,1.0,5917.916824179015,3418.3292245776984,0.5776237358746452,0.2647891220095659,284.8607687148082
60,1199,2.0,3536.7927916043377,763.1363432184978,0.21577072454740237,0.3390077029240147,63.59469526820815
28,1403,1.0,4081.4672386554166,1968.2062281436536,0.48223006900627535,0.34374893095116427,164.0171856786378
32,1282,2.0,3732.1661088428036,2127.7053867775912,0.5700993269662663,0.3435002522965135,177.30878223146593
53,2424,2.0,7447.310929245226,2027.3824823766533,0.27223013805093343,0.3254866116145454,168.94854019805445
25,8072,2.0,27173.111888180567,11607.758096102156,0.42717809222105174,0.2970583580274831,967.3131746751797
44,12579,2.0,40788.581852665564,23094.304115064027,0.5661953190352167,0.3083951299272238,1924.5253429220022
31,3430,2.0,10478.55460117238,2237.9928362750848,0.21357839143431956,0.3273352223231474,186.49940302292373
48,2134,1.0,7431.5921031167445,3559.495600873423,0.478968106898736,0.2871524661727625,296.62463340611856
44,2647,0.0,7550.986998861274,2408.308795290029,0.3189396029490203,0.35055019964928835,200.69239960750244
48,2241,1.0,6848.928209823232,3902.2349137916813,0.5697584781506122,0.327204480955983,325.18624281597346
44,1804,1.0,5691.889020402427,3349.240109611687,0.588423298066147,0.3169422301688612,279.1033424676406
26,2069,1.0,6775.478396460063,3914.2385582877173,0.5777065956453735,0.30536589137100284,326.18654652397646
36,1374,0.0,5102.442361272001,1988.348755210585,0.38968568666298553,0.2692828066866143,165.6957296008821
39,426,0.0,1249.4147082659483,680.7024485726369,0.5448170603957254,0.3409596486912193,56.725204047719735
42,409,1.0,1371.0958470815565,737.4024386109759,0.5378197594140282,0.29830153805116993,61.450203217581326
34,2415,1.0,8347.574911735777,2735.0010242545213,0.32764018929730226,0.2893055798283133,227.9167520212101
63,6836,5.0,18652.713361805207,9915.151768560016,0.5315661896602709,0.36648823511103445,826.2626473800013
36,1913,2.0,6650.977735583268,1428.6503289323896,0.21480305388619705,0.2876268837535413,119.05419407769914
27,4020,2.0,11634.009302963883,5101.605585927716,0.43850795139282117,0.3455386612915862,425.13379882730965
30,5866,2.0,16151.45685926887,4716.282496934946,0.29200353491508124,0.3631870518623629,393.0235414112455
57,1264,1.0,4969.8550921176175,1233.6509989119124,0.24822675431091154,0.25433337120930405,102.80424990932603
33,1474,1.0,5828.455489002534,1345.09842197334,0.23078128065168368,0.2528971873905923,112.091535164445
25,4746,4.0,17771.538418880966,8503.956776237777,0.47851551035125595,0.2670562271051177,708.6630646864814
31,6110,4.0,18774.920172865728,6307.434159973574,0.33594998550722643,0.3254341399986573,525.6195133311312
37,2100,2.0,5873.481919217875,2877.458195133212,0.4899067086115046,0.3575391954691912,239.78818292776768
37,1225,1.0,4384.247276636523,991.4647989907812,0.22614253631957695,0.27940942257704665,82.6220665825651
24,458,1.0,1490.1197895103167,485.9521066391776,0.32611613513224413,0.3073578401039208,40.49600888659813
30,2333,2.0,6600.953602523826,2744.6535164788515,0.4157965169501348,0.35343378252317886,228.72112637323764
26,1158,1.0,3852.553149211801,1989.0318373843884,0.5162892659355853,0.3005798895303798,165.7526531153657
44,6204,2.0,16828.461846665086,5511.338102981554,0.327501001172828,0.36866114422866597,459.2781752484628
24,6187,2.0,23999.953770215237,10808.536393908887,0.4503565505748036,0.25779216323650916,900.7113661590739
58,6143,4.0,18500.91390262521,10256.741996428822,0.5543910992944748,0.33203765134696034,854.7284997024018
35,1393,1.0,4945.1913894734635,2207.2628120118156,0.4463452752729218,0.28168778319989735,183.9385676676513
39,2299,3.0,7086.165018572742,2077.5487160122602,0.2931837899014535,0.3244350073663755,173.12905966768835
23,1352,0.0,4542.842619509867,952.90808806373,0.2097603126226152,0.29761101434455345,79.40900733864417
39,7228,1.0,24543.495865457633,13450.806418742251,0.5480395495603719,0.2944975744132947,1120.9005348951875
28,2073,1.0,6038.937715072558,1259.1654019592222,0.2085077643401549,0.34327229354030403,104.93045016326852
29,2333,2.0,9237.387915432955,5079.461047431397,0.5498806690736797,0.25256057462978726,423.28842061928304
30,5965,2.0,22071.5563884654,9084.097589547035,0.41157485361088475,0.270257334599082,757.0081324622529
25,1262,1.0,4946.19688567201,2847.1648674622693,0.5756270794051584,0.25514552476787217,237.2637389551891
31,3378,2.0,13038.302386326131,6773.571424923262,0.5195132943094661,0.2590828084753322,564.4642854102718
57,2225,3.0,7707.103270472886,4617.893152897751,0.599173644213335,0.288694717316728,384.82442940814593
26,783,0.0,3050.436701364134,1038.0170176552035,0.34028472618068406,0.2566845591812634,86.50141813793363
52,6468,1.0,18011.159337695753,9129.41207312023,0.5068753155724508,0.35911069791399003,760.7843394266857
31,9566,3.0,28009.029415868725,10104.883796145046,0.36077236544369684,0.3415327199656662,842.0736496787539
23,1961,2.0,5347.587618071421,2095.9882937548946,0.39195024812156354,0.3667074090330144,174.66569114624122
23,6229,3.0,19312.64350709917,8710.044425377238,0.45100218528734803,0.32253482014050905,725.8370354481032
27,1391,1.0,4430.2001466107595,2434.2658210656646,0.5494708456745354,0.31398129970813127,202.85548508880538
50,1537,1.0,4654.751282448638,2763.215772606497,0.593633387679718,0.33020024201840037,230.2679810505414
61,1953,3.0,7366.032473831625,3736.857260889334,0.5073093655458072,0.2651359475997665,311.40477174077785
25,14421,4.0,45315.65296566433,16635.68040164374,0.3671067128669335,0.318234408117804,1386.3067001369784
26,3181,2.0,9674.203567087412,3565.3580791959184,0.36854280091082803,0.3288125971239714,297.11317326632656
48,5190,2.0,17595.456895455078,8710.33041687417,0.4950329206355566,0.29496250258443596,725.8608680728476
29,2171,1.0,6197.261989893614,1831.3582097887975,0.29551085830732093,0.350315994957197,152.61318414906646
22,1007,1.0,3762.4164794924245,918.7431454196328,0.24418964525255787,0.2676471372823274,76.5619287849694
37,1819,3.0,5031.476827804671,1720.0046330791993,0.3418488630563106,0.36152407379637364,143.33371942326661
25,2394,3.0,9534.14310162885,3002.259680644806,0.3148955966616327,0.2510975527093777,250.1883067204005
30,8133,3.0,30062.222278252953,9575.51668765032,0.318523248182396,0.2705388818139177,797.9597239708601
46,730,1.0,2140.083263359928,627.9926679572116,0.29344310041996396,0.34110822345010117,52.33272232976763
51,1164,1.0,3112.5703257758314,674.9212703469242,0.21683727585454476,0.37396745395941033,56.24343919557702
41,5954,4.0,22351.00979336011,4630.0021547809865,0.20714957389336552,0.26638617472078485,385.83351289841556
40,1977,3.0,7135.275958382319,4246.123920092238,0.5950889558944126,0.277074076956684,353.84366000768654
66,1526,1.0,5552.619917907396,2060.6286326724444,0.3711092534943449,0.2748252217081519,171.7190527227037
34,3965,4.0,14650.782566146367,5182.430969994293,0.35373065886387267,0.27063400757594647,431.8692474995244
51,4771,1.0,13193.689377897796,6225.559929333422,0.47185891307722794,0.3616122726060558,518.7966607777852
39,9436,4.0,29672.643486058343,8524.996618838151,0.2873015551460257,0.31800334892418647,710.4163849031793
22,3832,2.0,10810.680314800396,6270.02673142215,0.5799844735800901,0.3544642786961139,522.5022276185125
44,5943,2.0,22687.231546638202,11673.442876363713,0.5145380057662208,0.261953512828701,972.7869063636427
47,1213,1.0,4242.747503789104,1000.288823506469,0.2357644009249038,0.2858996437842923,83.35740195887242
24,1568,2.0,4873.130803958606,1788.5964574391076,0.3670323103139713,0.32176439810034685,149.0497047865923
